TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,LAT,LON,NEIGHBOURHOOD
Theft from Vehicle,2015,2,8,20.0,0.0,49.26639527897133,-123.1277635793972,Fairview
Theft from Vehicle,2015,8,24,0.0,0.0,49.240388192215086,-123.16981526595646,Arbutus Ridge
Vehicle Collision or Pedestrian Struck (with Injury),2015,1,6,11.0,55.0,49.29455589028841,-123.13677580746868,Stanley Park
Theft from Vehicle,2015,9,10,15.0,0.0,49.24037577645393,-123.16815647565055,Arbutus Ridge
Theft from Vehicle,2015,6,15,21.0,0.0,49.290249440470525,-123.14222826232995,West End
Other Theft,2015,2,28,11.0,1.0,49.282539468902776,-123.11814255154766,Central Business District
Theft from Vehicle,2015,8,20,18.0,0.0,49.260742812808175,-123.13276163595263,Fairview
Theft from Vehicle,2015,3,14,4.0,0.0,49.260742812808175,-123.13276163595263,Fairview
Vehicle Collision or Pedestrian Struck (with Injury),2015,2,19,21.0,24.0,49.274037447410045,-123.11213849982818,Central Business District
Vehicle Collision or Pedestrian Struck (with Injury),2015,11,16,13.0,10.0,49.271335881237924,-123.02824960313059,Hastings-Sunrise
Vehicle Collision or Pedestrian Struck (with Injury),2015,9,19,7.0,30.0,49.271335881237924,-123.02824960313059,Hastings-Sunrise
Vehicle Collision or Pedestrian Struck (with Injury),2015,10,12,16.0,47.0,49.26838583047124,-123.0266808809311,Hastings-Sunrise
Vehicle Collision or Pedestrian Struck (with Injury),2015,9,7,18.0,16.0,49.26178368655872,-123.02519295733589,Renfrew-Collingwood
Vehicle Collision or Pedestrian Struck (with Injury),2015,10,16,23.0,3.0,49.281510576071184,-123.10453816708328,Central Business District
Vehicle Collision or Pedestrian Struck (with Injury),2015,7,4,18.0,57.0,49.28156431039739,-123.10479952328849,Central Business District
Theft from Vehicle,2015,8,1,18.0,0.0,49.2607461630544,-123.13297714818297,Fairview
Other Theft,2015,6,17,19.0,0.0,49.286943582186304,-123.11339752824692,Central Business District
Other Theft,2015,12,13,16.0,15.0,49.286943582186304,-123.11339752824692,Central Business District
Vehicle Collision or Pedestrian Struck (with Injury),2015,3,29,0.0,2.0,49.26302484248016,-123.10521382443112,Mount Pleasant
Theft from Vehicle,2015,5,23,0.0,0.0,49.236553278948485,-123.16967161598443,Arbutus Ridge
Theft from Vehicle,2015,7,28,22.0,0.0,49.236553278948485,-123.16967161598443,Arbutus Ridge
Theft from Vehicle,2015,8,16,20.0,0.0,49.236553278948485,-123.16967161598443,Arbutus Ridge
Other Theft,2015,4,29,17.0,50.0,49.28139486263078,-123.11968664336567,Central Business District
Other Theft,2015,9,7,15.0,32.0,49.2795092090869,-123.09895306396801,Strathcona
Other Theft,2015,2,24,18.0,30.0,49.282539468902776,-123.11814255154766,Central Business District
Vehicle Collision or Pedestrian Struck (with Injury),2015,5,27,13.0,45.0,49.248803966793645,-123.10459276016796,Riley Park
Other Theft,2015,8,11,12.0,19.0,49.27949201678021,-123.09801672027208,Strathcona
Other Theft,2015,6,29,19.0,15.0,49.28275100530176,-123.09965790993559,Central Business District
Mischief,2015,4,17,21.0,30.0,49.281301603659486,-123.07695202754914,Grandview-Woodland
Other Theft,2015,12,28,17.0,8.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,11,5,12.0,44.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Vehicle Collision or Pedestrian Struck (with Injury),2015,2,6,12.0,57.0,49.26328315356044,-123.07364318614233,Grandview-Woodland
Other Theft,2015,10,17,14.0,0.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,8,10,21.0,25.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,8,4,20.0,44.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,5,25,20.0,34.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,5,15,16.0,0.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,3,18,13.0,28.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,2,12,17.0,9.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,2,6,11.0,2.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,1,31,17.0,5.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,2,22,17.0,0.0,49.282539468902776,-123.11814255154766,Central Business District
Other Theft,2015,1,17,21.0,13.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,1,3,11.0,44.0,49.26527435824003,-123.11467247690204,Mount Pleasant
Other Theft,2015,1,22,12.0,20.0,49.278431891476465,-123.11540141485841,Central Business District
